iter	Passed	Remaining
0	154	154010
1	156	78037
2	157	52424
3	159	39620
4	160	31851
5	160	26660
6	161	22949
7	162	20167
8	163	18003
9	164	16261
10	164	14819
11	165	13614
12	165	12596
13	166	11727
14	167	10971
15	167	10309
16	168	9741
17	169	9230
18	170	8809
19	171	8389
20	171	8009
21	172	7665
22	173	7349
23	173	7064
24	174	6797
25	174	6551
26	175	6322
27	175	6109
28	176	5910
29	177	5728
30	177	5557
31	178	5397
32	179	5245
33	179	5102
34	180	4967
35	180	4839
36	181	4718
37	181	4603
38	182	4501
39	183	4408
40	184	4314
41	185	4223
42	185	4135
43	186	4052
44	187	3971
45	187	3893
46	188	3819
47	188	3747
48	189	3684
49	190	3621
50	191	3559
51	191	3497
52	192	3438
53	192	3380
54	193	3325
55	194	3272
56	194	3221
57	195	3173
58	196	3126
59	196	3080
60	197	3041
61	198	3005
62	199	2965
63	200	2929
64	200	2890
65	201	2853
66	202	2818
67	203	2782
68	203	2746
69	204	2713
70	204	2682
71	205	2650
72	206	2619
73	206	2589
74	207	2560
75	208	2534
76	209	2506
77	209	2478
78	210	2451
79	210	2424
80	211	2397
81	212	2374
82	212	2350
83	213	2328
84	214	2308
85	215	2289
86	216	2268
87	216	2246
88	217	2224
89	217	2203
90	218	2183
91	219	2165
92	220	2145
93	220	2128
94	221	2109
95	222	2091
96	222	2072
97	223	2054
98	223	2036
99	224	2019
100	224	2001
101	225	1984
102	226	1968
103	226	1952
104	227	1942
105	228	1930
106	229	1917
107	230	1904
108	231	1890
109	231	1876
110	232	1862
111	233	1850
112	234	1837
113	234	1823
114	235	1811
115	236	1799
116	236	1785
117	237	1774
118	238	1762
119	239	1753
120	239	1742
121	240	1730
122	241	1719
123	242	1710
124	243	1705
125	244	1695
126	245	1686
127	246	1676
128	246	1665
129	247	1654
130	247	1643
131	248	1633
132	249	1623
133	249	1613
134	250	1603
135	250	1594
136	251	1584
137	252	1576
138	252	1566
139	253	1557
140	254	1548
141	254	1537
142	255	1529
143	255	1520
144	256	1513
145	257	1505
146	258	1498
147	259	1492
148	259	1484
149	260	1476
150	261	1468
151	261	1460
152	262	1452
153	263	1445
154	264	1440
155	265	1434
156	265	1427
157	266	1420
158	267	1414
159	268	1408
160	268	1400
161	269	1394
162	270	1388
163	271	1384
164	272	1379
165	273	1375
166	274	1370
167	275	1363
168	276	1359
169	277	1354
170	278	1349
171	278	1342
172	279	1336
173	280	1330
174	280	1323
175	281	1317
176	282	1312
177	283	1306
178	283	1301
179	284	1295
180	284	1289
181	285	1283
182	286	1278
183	287	1275
184	288	1270
185	289	1267
186	290	1263
187	291	1258
188	292	1253
189	292	1247
190	293	1242
191	293	1236
192	294	1232
193	295	1227
194	296	1222
195	296	1217
196	297	1212
197	298	1207
198	298	1201
199	299	1196
200	299	1191
201	300	1185
202	300	1181
203	301	1177
204	302	1174
205	303	1171
206	304	1167
207	305	1163
208	306	1159
209	306	1154
210	307	1150
211	308	1146
212	309	1142
213	309	1137
214	310	1133
215	311	1129
216	311	1124
217	312	1119
218	312	1115
219	313	1111
220	313	1106
221	314	1102
222	315	1098
223	316	1095
224	317	1093
225	318	1089
226	319	1087
227	320	1084
228	320	1080
229	321	1076
230	322	1072
231	322	1068
232	323	1065
233	324	1061
234	324	1057
235	325	1053
236	325	1049
237	326	1045
238	327	1041
239	327	1037
240	328	1034
241	328	1030
242	329	1026
243	330	1022
244	330	1018
245	331	1016
246	332	1013
247	333	1010
248	334	1008
249	335	1005
250	335	1002
251	336	998
252	336	994
253	337	991
254	338	987
255	338	984
256	339	980
257	339	977
258	340	973
259	340	970
260	341	966
261	342	963
262	342	960
263	343	956
264	343	953
265	344	949
266	344	946
267	345	943
268	346	941
269	347	938
270	347	936
271	348	933
272	349	930
273	350	927
274	350	924
275	351	921
276	351	918
277	352	915
278	352	912
279	353	909
280	354	905
281	354	902
282	355	899
283	355	896
284	356	893
285	356	890
286	357	887
287	357	884
288	358	882
289	359	879
290	359	876
291	360	873
292	361	871
293	362	869
294	363	867
295	363	865
296	364	862
297	365	859
298	365	857
299	366	854
300	366	851
301	367	849
302	368	846
303	368	844
304	369	841
305	369	838
306	370	836
307	370	833
308	371	830
309	372	828
310	372	825
311	373	822
312	373	820
313	374	817
314	374	815
315	376	813
316	376	812
317	377	810
318	378	808
319	379	806
320	380	804
321	380	801
322	381	799
323	382	797
324	383	795
325	383	793
326	384	791
327	385	788
328	385	786
329	386	784
330	386	781
331	387	779
332	388	777
333	388	774
334	389	772
335	389	770
336	390	768
337	391	766
338	392	765
339	393	763
340	394	761
341	394	759
342	395	757
343	395	755
344	396	753
345	397	751
346	398	748
347	398	746
348	399	744
349	399	742
350	400	740
351	400	737
352	401	735
353	402	733
354	402	731
355	403	729
356	403	727
357	404	725
358	405	723
359	406	722
360	407	721
361	408	720
362	409	718
363	409	716
364	410	714
365	411	712
366	411	710
367	412	707
368	412	705
369	413	703
370	413	701
371	414	699
372	415	697
373	415	695
374	416	693
375	416	691
376	417	689
377	417	687
378	418	685
379	418	683
380	419	681
381	420	680
382	421	678
383	422	677
384	422	675
385	423	673
386	424	671
387	424	669
388	425	667
389	425	666
390	426	664
391	427	662
392	427	660
393	428	658
394	428	656
395	429	655
396	429	653
397	430	651
398	431	649
399	431	647
400	432	645
401	432	643
402	433	641
403	433	640
404	434	638
405	435	636
406	436	635
407	437	634
408	437	632
409	438	631
410	439	629
411	439	627
412	440	625
413	440	624
414	441	622
415	441	620
416	442	618
417	443	616
418	443	615
419	444	613
420	444	611
421	445	610
422	445	608
423	446	606
424	447	605
425	447	603
426	448	601
427	448	600
428	449	598
429	450	597
430	451	596
431	452	594
432	452	593
433	453	591
434	454	589
435	454	588
436	455	586
437	455	584
438	456	583
439	456	581
440	457	579
441	457	578
442	458	576
443	459	574
444	459	573
445	460	571
446	460	569
447	461	568
448	461	566
449	462	564
450	462	563
451	463	561
452	464	560
453	465	559
454	466	558
455	467	557
456	467	555
457	468	554
458	469	552
459	469	551
460	470	549
461	470	548
462	471	546
463	472	545
464	472	543
465	473	542
466	473	540
467	474	538
468	474	537
469	475	535
470	475	534
471	476	532
472	476	531
473	477	529
474	477	528
475	478	526
476	479	525
477	479	523
478	480	522
479	481	521
480	482	520
481	482	519
482	483	517
483	484	516
484	484	514
485	485	513
486	486	512
487	486	510
488	487	509
489	487	507
490	488	506
491	489	504
492	489	503
493	490	501
494	490	500
495	491	499
496	491	497
497	492	496
498	492	494
499	493	493
500	493	491
501	494	490
502	495	489
503	496	488
504	496	486
505	497	485
506	497	484
507	498	482
508	499	481
509	499	480
510	500	478
511	500	477
512	501	476
513	502	474
514	502	473
515	503	472
516	504	471
517	504	469
518	505	468
519	505	466
520	506	465
521	506	464
522	507	463
523	508	461
524	508	460
525	509	459
526	510	457
527	510	456
528	511	455
529	512	454
530	512	453
531	513	451
532	513	450
533	514	448
534	515	447
535	515	446
536	516	445
537	516	443
538	517	442
539	517	441
540	518	439
541	519	438
542	519	437
543	520	436
544	521	435
545	522	434
546	523	433
547	523	432
548	524	430
549	525	429
550	525	428
551	526	427
552	527	425
553	527	424
554	528	423
555	528	422
556	529	420
557	529	419
558	530	418
559	530	417
560	531	415
561	531	414
562	532	413
563	532	412
564	533	410
565	534	409
566	534	408
567	535	407
568	536	406
569	537	405
570	538	404
571	538	403
572	539	401
573	540	400
574	540	399
575	541	398
576	541	397
577	542	395
578	542	394
579	543	393
580	544	392
581	544	391
582	545	389
583	545	388
584	546	387
585	546	386
586	547	385
587	547	383
588	548	382
589	548	381
590	549	380
591	550	379
592	550	378
593	552	377
594	552	376
595	553	375
596	554	374
597	554	372
598	555	371
599	555	370
600	556	369
601	556	368
602	557	366
603	557	365
604	558	364
605	559	363
606	559	362
607	560	361
608	560	360
609	561	358
610	561	357
611	562	356
612	563	355
613	563	354
614	564	353
615	564	352
616	565	350
617	566	349
618	566	348
619	567	347
620	568	346
621	568	345
622	569	344
623	570	343
624	570	342
625	571	341
626	571	340
627	572	339
628	572	337
629	573	336
630	574	335
631	574	334
632	575	333
633	575	332
634	576	331
635	576	330
636	577	328
637	577	327
638	578	326
639	578	325
640	579	324
641	580	323
642	580	322
643	581	321
644	582	320
645	583	319
646	583	318
647	584	317
648	584	316
649	585	315
650	585	314
651	586	312
652	586	311
653	587	310
654	587	309
655	588	308
656	589	307
657	589	306
658	590	305
659	590	304
660	591	303
661	591	302
662	592	301
663	592	299
664	593	298
665	593	297
666	594	296
667	595	295
668	596	294
669	597	294
670	597	293
671	598	292
672	598	290
673	599	289
674	599	288
675	600	287
676	601	286
677	601	285
678	602	284
679	602	283
680	603	282
681	603	281
682	604	280
683	604	279
684	605	278
685	605	277
686	606	276
687	606	275
688	607	274
689	607	273
690	608	272
691	608	271
692	609	269
693	609	268
694	610	267
695	611	267
696	612	266
697	612	265
698	613	264
699	613	263
700	614	262
701	615	261
702	615	260
703	616	259
704	616	258
705	617	257
706	617	256
707	618	255
708	618	254
709	619	253
710	619	251
711	620	250
712	620	249
713	621	248
714	622	247
715	622	246
716	623	245
717	623	244
718	624	243
719	624	243
720	625	242
721	626	241
722	627	240
723	627	239
724	628	238
725	629	237
726	629	236
727	630	235
728	630	234
729	631	233
730	632	232
731	632	231
732	633	230
733	633	229
734	634	228
735	634	227
736	635	226
737	636	225
738	636	224
739	637	223
740	637	222
741	638	221
742	638	220
743	639	219
744	639	219
745	640	218
746	641	217
747	642	216
748	642	215
749	643	214
750	643	213
751	644	212
752	645	211
753	645	210
754	646	209
755	646	208
756	647	207
757	647	206
758	648	205
759	648	204
760	649	203
